  NAK      TPE
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
1235P 1254P 14JAN21 10APR21    @    AM    639  H  NAK  BAC  0  N   N
1240P 1258P 14JAN21 01JAN21 ----TF- AM   1225  H  NAK  BAC  0  N   N
1240P 1258P 08FEB21 14FEB21    @    AM   1225  H  NAK  BAC  0  N   N
 100P  118P 14JAN21 10APR21    @    AM    829  H  NAK  BAC  0  N   N
 110P  128P 14JAN21 10APR21 S----FS AM   1643  H  NAK  BAC  0  N   N
 110P  128P 08FEB21 11FEB21 -M-WT-- AM   1643  H  NAK  BAC  0  N   N
 110P  128P 15FEB21 17FEB21 -MTW--- AM   1643  H  NAK  BAC  0  N   N
 120P  138P 14JAN21 10APR21    @    AM    133  H  NAK  BAC  0  N   N
 125P  145P 14JAN21 01JAN21 ----TF- AM   1529  H  NAK  BAC  0  N   N
 125P  145P 09FEB21 14FEB21 S-TWTFS AM   1529  H  NAK  BAC  0  N   N
 135P  154P 14JAN21 10APR21    @    AM    645  H  NAK  BAC  0  N   N
 140P  158P 14JAN21 03JAN21 S---TF- AM   1229  H  NAK  BAC  0  N   N
 140P  158P 08FEB21 16FEB21    @    AM   1229  H  NAK  BAC  0  N   N
 200P  218P 14JAN21 10APR21    @    AM    833  H  NAK  BAC  0  N   N
 210P  228P 14JAN21 10APR21 S----FS AM   1649  H  NAK  BAC  0  N   N
 210P  228P 08FEB21 16FEB21 -MTWT-- AM   1649  H  NAK  BAC  0  N   N
 220P  238P 14JAN21 10APR21    @    AM    137  H  NAK  BAC  0  N   N
 225P  245P 14JAN21 03JAN21 S---TF- AM   1533  H  NAK  BAC  0  N   N
 225P  245P 08FEB21 15FEB21 -MTWTFS AM   1533  H  NAK  BAC  0  N   N
 235P  254P 14JAN21 10APR21    @    AM    651  H  NAK  BAC  0  N   N
 240P  258P 14JAN21 03JAN21 S---TF- AM   1233  H  NAK  BAC  0  N   N
 240P  258P 08FEB21 16FEB21    @    AM   1233  H  NAK  BAC  0  N   N
 300P  318P 14JAN21 10APR21    @    AM    837  H  NAK  BAC  0  N   N
